dates|result
01.02.2022 - 07:22:49|104,607
31.01.2022 - 20:37:50|93,475
31.01.2022 - 07:53:22|101,705
31.01.2022 - 07:51:39|100,374
31.01.2022 - 07:49:42|105,030
31.01.2022 - 07:40:01|95,109
31.01.2022 - 07:38:25|86,009
31.01.2022 - 07:31:09|88,174
31.01.2022 - 07:29:40|90,492
31.01.2022 - 07:27:36|184,737
30.01.2022 - 22:20:55|80,276
30.01.2022 - 22:19:31|76,914
30.01.2022 - 11:30:52|70,205
30.01.2022 - 11:29:39|82,278
29.01.2022 - 12:35:23|98,715
29.01.2022 - 12:33:41|91,150
28.01.2022 - 16:42:02|83,826
28.01.2022 - 08:23:12|89,483
28.01.2022 - 07:54:05|75,870
28.01.2022 - 07:52:48|70,473
27.01.2022 - 23:32:27|80,886
27.01.2022 - 11:25:09|93,490
27.01.2022 - 11:23:34|112,036
27.01.2022 - 08:58:58|99,407
27.01.2022 - 08:57:17|88,724
27.01.2022 - 08:55:47|70,699
27.01.2022 - 08:37:12|82,617
27.01.2022 - 07:32:15|86,472
27.01.2022 - 07:30:46|85,451
27.01.2022 - 07:29:20|77,226
27.01.2022 - 07:28:02|85,425
26.01.2022 - 07:46:58|103,957
26.01.2022 - 07:45:13|96,422
26.01.2022 - 07:43:35|74,070
25.01.2022 - 11:39:19|87,638
25.01.2022 - 08:53:29|120,440
25.01.2022 - 08:51:28|86,122
25.01.2022 - 08:50:00|91,428
25.01.2022 - 07:50:59|90,924
25.01.2022 - 07:49:27|91,963
25.01.2022 - 07:46:49|88,762
24.01.2022 - 14:33:19|91,184
24.01.2022 - 14:31:47|99,838
24.01.2022 - 14:19:37|69,797
24.01.2022 - 12:00:18|82,368
24.01.2022 - 11:58:54|98,380
24.01.2022 - 08:49:21|87,610
24.01.2022 - 08:47:52|96,761
24.01.2022 - 08:46:14|122,997
24.01.2022 - 07:16:05|73,977
24.01.2022 - 07:14:48|81,103
23.01.2022 - 23:29:28|113,630
23.01.2022 - 22:22:14|76,966
22.01.2022 - 20:45:04|68,380
20.01.2022 - 14:07:02|95,363
20.01.2022 - 14:05:25|88,931
20.01.2022 - 08:50:49|86,950
19.01.2022 - 08:41:15|104,971
19.01.2022 - 08:39:29|89,158
19.01.2022 - 07:27:14|100,697
19.01.2022 - 07:25:31|72,563
19.01.2022 - 07:22:10|84,148
19.01.2022 - 07:20:44|84,106
18.01.2022 - 08:38:59|81,822
18.01.2022 - 08:37:34|95,466
17.01.2022 - 22:12:43|88,384
17.01.2022 - 22:11:12|67,211
14.01.2022 - 09:15:00|99,916
14.01.2022 - 07:36:53|83,767
14.01.2022 - 07:34:23|68,881
13.01.2022 - 13:09:17|88,774
13.01.2022 - 07:35:30|122,602
12.01.2022 - 08:41:23|96,995
12.01.2022 - 08:39:34|74,017
12.01.2022 - 07:39:04|89,054
12.01.2022 - 07:36:34|98,608
11.01.2022 - 09:14:16|81,203
11.01.2022 - 05:42:12|123,095
10.01.2022 - 07:32:12|90,409
09.01.2022 - 18:36:47|86,914
09.01.2022 - 00:49:11|84,722
08.01.2022 - 23:10:20|93,584
08.01.2022 - 15:08:15|95,653
07.01.2022 - 21:17:30|116,679
07.01.2022 - 21:15:33|86,675
07.01.2022 - 13:48:06|91,290
06.01.2022 - 23:28:30|75,760
06.01.2022 - 23:27:13|75,770
06.01.2022 - 20:18:26|79,313
06.01.2022 - 20:17:05|84,417
06.01.2022 - 20:15:40|112,427
05.01.2022 - 08:19:01|96,547
05.01.2022 - 08:17:23|91,937
05.01.2022 - 08:15:50|107,125
05.01.2022 - 08:14:02|105,466
05.01.2022 - 08:12:15|91,961
05.01.2022 - 07:59:56|74,630
04.01.2022 - 13:49:55|111,074
04.01.2022 - 13:48:03|101,144
03.01.2022 - 21:22:35|91,441
03.01.2022 - 13:55:43|108,083
03.01.2022 - 13:53:54|95,103
02.01.2022 - 00:39:45|73,083
31.12.2021 - 22:54:16|89,705
31.12.2021 - 22:52:45|89,611
31.12.2021 - 11:16:00|81,997
31.12.2021 - 08:48:34|82,654
31.12.2021 - 08:47:10|94,241
31.12.2021 - 08:45:34|81,775
29.12.2021 - 10:01:24|97,827
29.12.2021 - 09:59:44|123,618
28.12.2021 - 13:49:15|92,738
28.12.2021 - 13:32:22|116,603
27.12.2021 - 07:26:00|102,249
27.12.2021 - 07:24:13|81,097
24.12.2021 - 07:52:25|87,650
23.12.2021 - 07:36:14|105,782
22.12.2021 - 15:57:08|117,163
22.12.2021 - 15:55:09|98,522
22.12.2021 - 00:45:36|95,960
22.12.2021 - 00:43:57|104,610
22.12.2021 - 00:42:11|88,885
20.12.2021 - 11:14:38|99,566
20.12.2021 - 11:12:58|99,385
20.12.2021 - 07:31:46|115,827
20.12.2021 - 07:29:49|102,180
19.12.2021 - 13:10:53|108,619
19.12.2021 - 13:09:02|79,297
18.12.2021 - 12:09:39|77,498
18.12.2021 - 12:08:21|108,859
18.12.2021 - 12:06:30|126,223
16.12.2021 - 23:43:06|92,549
16.12.2021 - 23:33:22|91,536
16.12.2021 - 23:31:49|91,484
15.12.2021 - 09:12:18|93,417
15.12.2021 - 09:10:43|90,778
15.12.2021 - 07:26:52|89,509
14.12.2021 - 12:32:49|151,129
14.12.2021 - 12:30:00|63,046
14.12.2021 - 12:28:54|71,455
14.12.2021 - 07:44:11|86,817
13.12.2021 - 08:41:33|108,793
13.12.2021 - 08:39:42|96,386
13.12.2021 - 08:36:47|91,538
12.12.2021 - 15:05:46|136,488
09.12.2021 - 07:52:21|91,883
08.12.2021 - 09:04:13|90,289
08.12.2021 - 09:02:41|70,192
08.12.2021 - 09:01:30|65,982
07.12.2021 - 17:21:54|105,283
15.11.2021 - 08:29:56|88,552
15.11.2021 - 08:28:27|94,413
15.11.2021 - 08:26:49|104,527
15.11.2021 - 08:25:03|92,025
13.11.2021 - 00:24:27|78,901
13.11.2021 - 00:23:02|78,960
12.11.2021 - 11:49:43|90,061
12.11.2021 - 08:28:58|71,939
12.11.2021 - 05:55:14|118,029
10.11.2021 - 15:57:31|88,481
10.11.2021 - 08:40:50|89,723
10.11.2021 - 08:39:19|112,690
10.11.2021 - 08:37:25|110,297
10.11.2021 - 07:05:24|95,217
09.11.2021 - 12:34:01|89,472
09.11.2021 - 11:14:29|95,138
09.11.2021 - 11:12:46|93,353
09.11.2021 - 11:11:04|95,601
08.11.2021 - 21:41:38|76,508
08.11.2021 - 16:24:56|96,022
08.11.2021 - 13:52:53|83,832
08.11.2021 - 13:51:28|83,852
08.11.2021 - 08:33:26|79,725
08.11.2021 - 08:32:06|86,087
07.11.2021 - 15:14:33|99,060
07.11.2021 - 15:09:20|107,530
07.11.2021 - 13:47:05|95,456
06.11.2021 - 11:42:31|63,151
06.11.2021 - 11:41:05|77,718
06.11.2021 - 11:39:46|78,177
05.11.2021 - 18:24:42|91,025
05.11.2021 - 15:43:16|79,768
05.11.2021 - 15:41:40|72,328
05.11.2021 - 07:27:30|94,704
05.11.2021 - 07:25:36|98,054
05.11.2021 - 07:23:56|97,651
05.11.2021 - 07:22:17|94,807
04.11.2021 - 13:32:30|95,615
